   21 1.057	 1.076	 0.964	 1.033	 0.945	 2.006	 0.382	 0.588	 1.207	 0.690	 1.021	 0.907	 0.000	
   22 1.064	 1.151	 1.017	 1.158	 2.552	 3.606	 0.134	 0.796	 1.108	 0.724	 1.126	 0.959	 0.000	
   23 1.064	 1.151	 1.017	 1.158	 2.552	 3.606	 0.134	 0.796	 1.108	 0.724	 1.126	 0.959	 0.000	
   24 1.019	 1.084	 1.089	 1.077	 2.038	 2.746	 0.432	 0.669	 0.908	 0.683	 1.109	 0.979	 0.000	
   25 1.155	 1.122	 1.185	 0.061	 0.422	 0.954	 0.791	 0.210	 0.975	 0.854	 1.250	 0.573	 0.000	
   26 1.232	 1.126	 1.044	 0.209	 1.099	 1.710	 0.777	 0.224	 0.985	 0.826	 1.279	 0.502	 0.000	
   27 1.232	 1.126	 1.044	 0.209	 1.099	 1.710	 0.777	 0.224	 0.985	 0.826	 1.279	 0.502	 0.000	
   28 1.232	 1.126	 1.044	 0.209	 1.099	 1.710	 0.777	 0.224	 0.985	 0.826	 1.279	 0.502	 0.000	
   29 1.232	 1.126	 1.044	 0.209	 1.099	 1.710	 0.777	 0.224	 0.985	 0.826	 1.279	 0.502	 0.000	
   30 1.232	 1.126	 1.044	 0.209	 1.099	 1.710	 0.777	 0.224	 0.985	 0.826	 1.279	 0.502	 0.000	
   31 1.232	 1.126	 1.044	 0.209	 1.099	 1.710	 0.777	 0.224	 0.985	 0.826	 1.279	 0.502	 0.000	
   32 1.232	 1.126	 1.044	 0.209	 1.099	 1.710	 0.777	 0.224	 0.985	 0.826	 1.279	 0.502	 0.000	
   33 1.232	 1.126	 1.044	 0.209	 1.099	 1.710	 0.777	 0.224	 0.985	 0.826	 1.279	 0.502	 0.000	
   34 1.071	 1.235	 0.993	 1.200	 1.672	 2.434	 0.158	 0.900	 1.057	 0.682	 0.890	 0.889	 0.000	
   35 1.176	 1.068	 1.045	 0.711	 1.522	 2.639	 0.493	 0.533	 1.092	 0.556	 1.093	 0.935	 0.000	
   36 1.176	 1.068	 1.045	 0.711	 1.522	 2.639	 0.493	 0.533	 1.092	 0.556	 1.093	 0.935	 0.000	
   37 1.176	 1.068	 1.045	 0.711	 1.522	 2.639	 0.493	 0.533	 1.092	 0.556	 1.093	 0.935	 0.000	
   38 1.003	 1.054	 1.049	 1.143	 3.300	 4.443	 0.132	 0.714	 1.221	 0.563	 1.072	 1.058	 0.000	
   39 1.003	 1.054	 1.049	 1.143	 3.300	 4.443	 0.132	 0.714	 1.221	 0.563	 1.072	 1.058	 0.000	
   40 0.927	 1.133	 1.163	 0.824	 0.658	 3.293	 0.107	 0.768	 1.054	 0.574	 1.231	 0.918	 0.000	
   41 1.120	 1.026	 1.030	 0.670	 1.425	 1.732	 0.361	 0.681	 1.133	 0.628	 1.102	 0.801	 0.000	
   42 1.253	 1.049	 1.101	 0.429	 1.522	 2.520	 0.358	 0.567	 1.114	 0.672	 1.112	 0.708	 0.000	
   43 1.253	 1.049	 1.101	 0.429	 1.522	 2.520	 0.358	 0.567	 1.114	 0.672	 1.112	 0.708	 0.000	
   44 1.253	 1.049	 1.101	 0.429	 1.522	 2.520	 0.358	 0.567	 1.114	 0.672	 1.112	 0.708	 0.000	
   45 1.085	 1.166	 1.112	 0.781	 1.026	 3.511	 0.415	 0.532	 1.046	 0.529	 1.269	 0.881	 0.000	
   46 1.085	 1.166	 1.112	 0.781	 1.026	 3.511	 0.415	 0.532	 1.046	 0.529	 1.269	 0.881	 0.000	
   47 1.085	 1.166	 1.112	 0.781	 1.026	 3.511	 0.415	 0.532	 1.046	 0.529	 1.269	 0.881	 0.000	
   48 1.085	 1.166	 1.112	 0.781	 1.026	 3.511	 0.415	 0.532	 1.046	 0.529	 1.269	 0.881	 0.000	
   49 1.085	 1.166	 1.112	 0.781	 1.026	 3.511	 0.415	 0.532	 1.046	 0.529	 1.269	 0.881	 0.000	
   50 1.085	 1.166	 1.112	 0.781	 1.026	 3.511	 0.415	 0.532	 1.046	 0.529	 1.269	 0.881	 0.000	
   51 0.872	 1.212	 1.056	 1.051	 1.304	 1.702	 0.407	 0.450	 1.241	 0.509	 1.193	 0.897	 0.000	
   52 1.213	 1.124	 0.979	 0.901	 0.988	 2.246	 0.432	 0.654	 1.230	 0.649	 0.917	 0.718	 0.000	
   53 1.213	 1.124	 0.979	 0.901	 0.988	 2.246	 0.432	 0.654	 1.230	 0.649	 0.917	 0.718	 0.000	
   54 0.862	 1.213	 1.039	 1.242	 2.244	 2.539	 0.111	 0.886	 1.060	 0.717	 1.100	 1.102	 0.000	
   55 1.049	 1.230	 0.898	 1.259	 1.322	 1.612	 0.276	 0.549	 1.132	 0.821	 1.100	 0.716	 0.000	
   56 1.049	 1.230	 0.898	 1.259	 1.322	 1.612	 0.276	 0.549	 1.132	 0.821	 1.100	 0.716	 0.000	
   57 1.049	 1.230	 0.898	 1.259	 1.322	 1.612	 0.276	 0.549	 1.132	 0.821	 1.100	 0.716	 0.000	
   58 1.049	 1.230	 0.898	 1.259	 1.322	 1.612	 0.276	 0.549	 1.132	 0.821	 1.100	 0.716	 0.000	
   59 1.049	 1.230	 0.898	 1.259	 1.322	 1.612	 0.276	 0.549	 1.132	 0.821	 1.100	 0.716	 0.000	
   60 1.049	 1.230	 0.898	 1.259	 1.322	 1.612	 0.276	 0.549	 1.132	 0.821	 1.100	 0.716	 0.000	
   61 0.493	 1.194	 1.042	 1.186	 0.308	 0.374	 0.256	 0.698	 1.103	 0.809	 1.026	 1.289	 0.000	
   62 0.493	 1.194	 1.042	 1.186	 0.308	 0.374	 0.256	 0.698	 1.103	 0.809	 1.026	 1.289	 0.000	
   63 0.493	 1.194	 1.042	 1.186	 0.308	 0.374	 0.256	 0.698	 1.103	 0.809	 1.026	 1.289	 0.000	
   64 0.493	 1.194	 1.042	 1.186	 0.308	 0.374	 0.256	 0.698	 1.103	 0.809	 1.026	 1.289	 0.000	
   65 1.215	 0.857	 1.159	 0.392	 0.971	 2.847	 0.158	 1.195	 0.697	 0.700	 0.963	 1.034	 0.000	
